python train.py --epochs 300
--- Training miap_max_ranking_L3_H129 on cuda ---
Loading dataset_train into memory...
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4427/4427 [00:06<00:00, 642.59it/s]
Loading dataset_val into memory...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 886/886 [00:01<00:00, 832.15it/s]
/home/schterben/miniconda3/envs/miap_gasse/lib/python3.10/site-packages/torch_geometric/utils/_scatter.py:91: UserWarning: The usage of `scatter(reduce='max')` can be accelerated via the 'torch-scatter' package, but it was not found
  warnings.warn(
Ep 29 | T_Loss: 0.0661 T_Acc@1: 0.1172 T_Acc@5: 0.5003 | V_Loss: 0.0648 V_Acc@1: 0.1115 V_Acc@5: 0.4969 | LR: 1.0e-03
Ep 30 | T_Loss: 0.0663 T_Acc@1: 0.1214 T_Acc@5: 0.4949 | V_Loss: 0.0647 V_Acc@1: 0.1135 V_Acc@5: 0.4877 | LR: 1.0e-03
Ep 31 | T_Loss: 0.0664 T_Acc@1: 0.1202 T_Acc@5: 0.4902 | V_Loss: 0.0659 V_Acc@1: 0.1140 V_Acc@5: 0.4985 | LR: 1.0e-03
Ep 32 | T_Loss: 0.0658 T_Acc@1: 0.1194 T_Acc@5: 0.4995 | V_Loss: 0.0649 V_Acc@1: 0.1193 V_Acc@5: 0.5026 | LR: 1.0e-03
Ep 33 | T_Loss: 0.0657 T_Acc@1: 0.1198 T_Acc@5: 0.4958 | V_Loss: 0.0645 V_Acc@1: 0.1207 V_Acc@5: 0.5045 | LR: 1.0e-03
Ep 34 | T_Loss: 0.0660 T_Acc@1: 0.1214 T_Acc@5: 0.4964 | V_Loss: 0.0654 V_Acc@1: 0.1171 V_Acc@5: 0.5031 | LR: 1.0e-03
Ep 35 | T_Loss: 0.0654 T_Acc@1: 0.1242 T_Acc@5: 0.4973 | V_Loss: 0.0644 V_Acc@1: 0.1091 V_Acc@5: 0.5040 | LR: 1.0e-03
Ep 36 | T_Loss: 0.0652 T_Acc@1: 0.1233 T_Acc@5: 0.4989 | V_Loss: 0.0644 V_Acc@1: 0.1180 V_Acc@5: 0.5107 | LR: 1.0e-03
Ep 37 | T_Loss: 0.0653 T_Acc@1: 0.1185 T_Acc@5: 0.5087 | V_Loss: 0.0666 V_Acc@1: 0.1162 V_Acc@5: 0.4794 | LR: 1.0e-03
Ep 38 | T_Loss: 0.0650 T_Acc@1: 0.1250 T_Acc@5: 0.5066 | V_Loss: 0.0651 V_Acc@1: 0.1193 V_Acc@5: 0.4922 | LR: 1.0e-03
